timestamp_sec,type,traffic(MB)
1711662000,R,24.07421875
1711662000,W,0.0
1711662001,R,28.8125
1711662001,W,0.0
1711662002,R,0.0
1711662002,W,0.0
1711662003,R,0.0390625
1711662003,W,0.0
1711662004,R,0.0
1711662004,W,0.0
1711662005,R,0.0
1711662005,W,0.0
1711662006,R,3.19140625
1711662006,W,0.0
1711662007,R,30.1767578125
1711662007,W,0.0078125
1711662008,R,67.84375
1711662008,W,9.46142578125
1711662009,R,0.0390625
1711662009,W,0.0
1711662010,R,44.10546875
1711662010,W,1.640625
1711662011,R,155.62060546875
1711662011,W,34.4921875
1711662012,R,1.984375
1711662012,W,6.7578125
1711662013,R,0.23828125
1711662013,W,26.17578125
1711662014,R,1.17578125
1711662014,W,1.99609375
1711662015,R,0.0
1711662015,W,93.81640625
1711662016,R,1.55859375
1711662016,W,93.8984375
1711662017,R,0.8515625
1711662017,W,95.046875
1711662018,R,0.0
1711662018,W,120.69140625
1711662019,R,0.0
1711662019,W,93.81640625
1711662020,R,3.9140625
1711662020,W,102.859375
1711662021,R,0.70703125
1711662021,W,101.09375
1711662022,R,0.75390625
1711662022,W,112.171875
1711662023,R,0.4375
1711662023,W,128.80859375
1711662024,R,0.16015625
1711662024,W,132.6640625
1711662025,R,9.1953125
1711662025,W,482.5234375
1711662026,R,0.0
1711662026,W,249.1484375
1711662027,R,0.0
1711662027,W,246.484375
1711662028,R,0.0
1711662028,W,247.96875
1711662029,R,0.03125
1711662029,W,247.8359375
1711662030,R,0.01953125
1711662030,W,248.30859375
1711662031,R,0.015625
1711662031,W,248.8984375
1711662032,R,0.00390625
1711662032,W,246.94140625
1711662033,R,0.0390625
1711662033,W,247.8984375
1711662034,R,3.2734375
1711662034,W,244.609375
1711662035,R,0.02734375
1711662035,W,247.97265625
1711662036,R,19.19140625
1711662036,W,209.20703125
1711662037,R,16.43359375
1711662037,W,250.515625
1711662038,R,0.0
1711662038,W,248.2734375
1711662039,R,0.0
1711662039,W,247.890625
1711662040,R,0.0
1711662040,W,248.05859375
1711662041,R,0.0
1711662041,W,248.19921875
1711662042,R,0.0234375
1711662042,W,247.625
1711662043,R,0.03515625
1711662043,W,247.82421875
1711662044,R,0.0078125
1711662044,W,248.70703125
1711662045,R,0.015625
1711662045,W,247.515625
1711662046,R,0.01171875
1711662046,W,248.13671875
1711662047,R,0.015625
1711662047,W,248.55859375
1711662048,R,0.0
1711662048,W,247.4140625
1711662049,R,0.109375
1711662049,W,178.0625
1711662050,R,0.24609375
1711662050,W,115.5
1711662051,R,0.1015625
1711662051,W,450.73046875
1711662052,R,0.0
1711662052,W,247.78125
1711662053,R,0.0
1711662053,W,248.328125
1711662054,R,1.2734375
1711662054,W,246.4375
1711662055,R,0.0
1711662055,W,247.89453125
1711662056,R,0.0
1711662056,W,248.1171875
1711662057,R,0.0
1711662057,W,248.20703125
1711662058,R,0.0
1711662058,W,247.6640625
1711662059,R,0.16796875
1711662059,W,247.83984375
1711662060,R,0.0
1711662060,W,248.21875
1711662061,R,0.109375
1711662061,W,248.15234375
1711662062,R,0.77734375
1711662062,W,125.2578125
1711662063,R,0.0
1711662063,W,94.09375
1711662064,R,0.0
1711662064,W,106.34375
1711662065,R,0.0
1711662065,W,163.6796875
1711662066,R,0.0
1711662066,W,422.984375
1711662067,R,0.0
1711662067,W,94.0078125
1711662068,R,0.0
1711662068,W,93.62890625
1711662069,R,0.2265625
1711662069,W,93.8203125
1711662070,R,6.15625
1711662070,W,93.81640625
1711662071,R,4.36328125
1711662071,W,110.94140625
1711662072,R,0.1875
1711662072,W,93.81640625
1711662073,R,0.05078125
1711662073,W,97.71875
1711662074,R,0.0
1711662074,W,93.81640625
1711662075,R,0.0
1711662075,W,93.81640625
1711662076,R,0.79296875
1711662076,W,317.38671875
1711662077,R,0.234375
1711662077,W,137.43359375
1711662078,R,0.2109375
1711662078,W,146.1015625
1711662079,R,0.5546875
1711662079,W,146.5546875
1711662080,R,0.21484375
1711662080,W,145.8125
1711662081,R,0.1796875
1711662081,W,139.92578125
1711662082,R,0.0
1711662082,W,152.27734375
1711662083,R,0.015625
1711662083,W,36.0859375
1711662084,R,0.0
1711662084,W,35.80078125
1711662085,R,0.0
1711662085,W,46.78515625
1711662086,R,0.00390625
1711662086,W,46.72265625
1711662087,R,0.03125
1711662087,W,39.87109375
1711662088,R,0.0
1711662088,W,26.21875
1711662089,R,0.00390625
1711662089,W,38.37109375
1711662090,R,0.0
1711662090,W,102.36328125
1711662091,R,0.0
1711662091,W,121.17578125
1711662092,R,0.01953125
1711662092,W,90.52734375
1711662093,R,0.0078125
1711662093,W,97.32421875
1711662094,R,0.0
1711662094,W,17.38671875
1711662095,R,0.0
1711662095,W,13.72265625
1711662096,R,0.0
1711662096,W,26.6171875
1711662097,R,0.05078125
1711662097,W,40.82421875
1711662098,R,0.04296875
1711662098,W,46.5546875
1711662099,R,0.03515625
1711662099,W,48.09375
1711662100,R,1.07421875
1711662100,W,12.34375
1711662101,R,0.02734375
1711662101,W,14.98046875
1711662102,R,0.0859375
1711662102,W,0.01171875
1711662103,R,0.0
1711662103,W,0.01171875
1711662104,R,0.0
1711662104,W,0.0
1711662105,R,0.0
1711662105,W,0.02734375
1711662106,R,0.0
1711662106,W,0.65625
1711662107,R,0.0
1711662107,W,0.01171875
1711662108,R,0.0
1711662108,W,0.23828125
1711662109,R,0.01953125
1711662109,W,0.0
1711662110,R,0.0
1711662110,W,0.00390625
1711662111,R,0.0
1711662111,W,0.1328125
1711662112,R,0.0
1711662112,W,0.0
1711662113,R,0.0
1711662113,W,8.6064453125
1711662114,R,0.0
1711662114,W,0.0
1711662115,R,0.0
1711662115,W,0.00390625
1711662116,R,0.0
1711662116,W,0.1640625
1711662117,R,0.0
1711662117,W,0.0078125
1711662118,R,0.0
1711662118,W,38.0625
1711662119,R,0.0
1711662119,W,0.00390625
1711662120,R,0.0
1711662120,W,0.00390625
1711662121,R,0.0
1711662121,W,0.375
1711662122,R,0.0
1711662122,W,0.0
1711662123,R,0.0
1711662123,W,100.39453125
1711662124,R,0.0
1711662124,W,0.00390625
1711662125,R,0.0
1711662125,W,0.0078125
1711662126,R,0.0
1711662126,W,0.0
1711662127,R,0.0
1711662127,W,0.19140625
1711662128,R,0.0
1711662128,W,69.86328125
1711662129,R,0.0
1711662129,W,0.00390625
1711662130,R,0.0
1711662130,W,0.0
1711662131,R,0.0
1711662131,W,0.0078125
1711662132,R,0.0
1711662132,W,0.90625
1711662133,R,0.0
1711662133,W,1.4765625
1711662134,R,0.0
1711662134,W,0.0
1711662135,R,0.0
1711662135,W,0.00390625
1711662136,R,0.0
1711662136,W,0.0
1711662137,R,0.0
1711662137,W,0.15234375
1711662138,R,0.0
1711662138,W,10.91796875
1711662139,R,0.0
1711662139,W,98.78515625
1711662140,R,0.0
1711662140,W,0.00390625
1711662141,R,0.0
1711662141,W,0.03515625
1711662142,R,0.0
1711662142,W,0.08984375
1711662143,R,0.0
1711662143,W,0.00390625
1711662144,R,0.0
1711662144,W,5.41552734375
1711662145,R,0.0
1711662145,W,0.24609375
1711662146,R,0.0
1711662146,W,0.0078125
1711662147,R,0.0
1711662147,W,1.0234375
1711662148,R,0.0
1711662148,W,5.87890625
1711662149,R,0.0
1711662149,W,3.47265625
1711662150,R,0.0
1711662150,W,4.72265625
1711662151,R,0.0
1711662151,W,10.1171875
1711662152,R,0.0
1711662152,W,14.19921875
1711662153,R,0.0
1711662153,W,15.5234375
1711662154,R,0.109375
1711662154,W,185.046875
1711662155,R,0.2734375
1711662155,W,257.02734375
1711662156,R,0.046875
1711662156,W,449.859375
1711662157,R,0.01953125
1711662157,W,248.34375
1711662158,R,0.015625
1711662158,W,247.22265625
1711662159,R,0.03515625
1711662159,W,248.61328125
1711662160,R,0.0
1711662160,W,249.12109375
1711662161,R,0.0
1711662161,W,247.00390625
1711662162,R,0.0
1711662162,W,248.3359375
1711662163,R,0.0
1711662163,W,247.79296875
1711662164,R,0.0
1711662164,W,247.69921875
1711662165,R,0.0
1711662165,W,248.7578125
1711662166,R,0.0
1711662166,W,247.58984375
1711662167,R,0.0
1711662167,W,247.6015625
1711662168,R,0.0
1711662168,W,247.99609375
1711662169,R,0.0
1711662169,W,248.453125
1711662170,R,0.0
1711662170,W,247.7421875
1711662171,R,0.00390625
1711662171,W,247.76171875
1711662172,R,0.01171875
1711662172,W,248.8828125
1711662173,R,0.0234375
1711662173,W,247.71875
1711662174,R,0.01171875
1711662174,W,248.63671875
1711662175,R,0.01171875
1711662175,W,247.484375
1711662176,R,0.01171875
1711662176,W,248.2578125
1711662177,R,0.00390625
1711662177,W,247.68359375
1711662178,R,0.0
1711662178,W,247.765625
1711662179,R,0.0
1711662179,W,248.31640625
1711662180,R,0.0
1711662180,W,247.5
1711662181,R,0.0
1711662181,W,248.44921875
1711662182,R,0.0
1711662182,W,248.2421875
1711662183,R,0.06640625
1711662183,W,247.62109375
1711662184,R,0.0703125
1711662184,W,247.57421875
1711662185,R,0.13671875
1711662185,W,233.640625
1711662186,R,0.1640625
1711662186,W,262.21875
1711662187,R,0.06640625
1711662187,W,248.734375
1711662188,R,0.1015625
1711662188,W,248.140625
1711662189,R,0.046875
1711662189,W,247.57421875
1711662190,R,0.03125
1711662190,W,248.22265625
1711662191,R,0.0390625
1711662191,W,247.44140625
1711662192,R,0.07421875
1711662192,W,248.13671875
1711662193,R,0.046875
1711662193,W,248.4765625
1711662194,R,0.0546875
1711662194,W,247.3828125
1711662195,R,0.0234375
1711662195,W,248.0625
1711662196,R,0.02734375
1711662196,W,248.3984375
1711662197,R,0.03125
1711662197,W,247.7109375
1711662198,R,0.015625
1711662198,W,248.16015625
1711662199,R,0.02734375
1711662199,W,247.6640625
1711662200,R,0.1328125
1711662200,W,172.546875
1711662201,R,0.015625
1711662201,W,323.78515625
1711662202,R,0.01171875
1711662202,W,248.015625
1711662203,R,0.0234375
1711662203,W,247.41015625
1711662204,R,0.0078125
1711662204,W,248.58203125
1711662205,R,0.01953125
1711662205,W,247.98828125
1711662206,R,0.0
1711662206,W,247.8203125
1711662207,R,0.0
1711662207,W,247.3671875
1711662208,R,0.0
1711662208,W,248.35546875
1711662209,R,0.0
1711662209,W,247.640625
1711662210,R,0.0
1711662210,W,249.46875
1711662211,R,0.0
1711662211,W,246.890625
1711662212,R,0.0
1711662212,W,248.54296875
1711662213,R,0.0
1711662213,W,247.76171875
1711662214,R,0.0
1711662214,W,247.53125
1711662215,R,0.0
1711662215,W,248.13671875
1711662216,R,0.00390625
1711662216,W,245.953125
1711662217,R,0.0
1711662217,W,250.36328125
1711662218,R,0.0
1711662218,W,247.91015625
1711662219,R,0.0
1711662219,W,248.1484375
1711662220,R,0.0
1711662220,W,247.91796875
1711662221,R,0.0
1711662221,W,248.41015625
1711662222,R,0.5078125
1711662222,W,246.93359375
1711662223,R,0.0
1711662223,W,248.25390625
1711662224,R,0.78125
1711662224,W,246.68359375
1711662225,R,1.0
1711662225,W,247.41015625
1711662226,R,0.37890625
1711662226,W,247.5234375
1711662227,R,0.0
1711662227,W,248.203125
1711662228,R,0.04296875
1711662228,W,247.8671875
1711662229,R,0.30078125
1711662229,W,246.40625
1711662230,R,0.0078125
1711662230,W,248.27734375
1711662231,R,3.03515625
1711662231,W,244.98046875
1711662232,R,0.0
1711662232,W,248.00390625
1711662233,R,5.6484375
1711662233,W,242.26171875
1711662234,R,0.03515625
1711662234,W,248.61328125
1711662235,R,0.171875
1711662235,W,247.7890625
1711662236,R,6.33984375
1711662236,W,240.9609375
1711662237,R,0.0
1711662237,W,248.28125
1711662238,R,0.0078125
1711662238,W,247.30859375
1711662239,R,0.0
1711662239,W,248.86328125
1711662240,R,0.1796875
1711662240,W,248.28515625
1711662241,R,2.19140625
1711662241,W,245.375
1711662242,R,7.44140625
1711662242,W,239.6171875
1711662243,R,0.7265625
1711662243,W,248.1484375
1711662244,R,0.609375
1711662244,W,247.4609375
1711662245,R,1.734375
1711662245,W,245.96875
1711662246,R,2.84375
1711662246,W,245.4609375
1711662247,R,0.22265625
1711662247,W,247.16015625
1711662248,R,0.0
1711662248,W,247.98046875
1711662249,R,0.0
1711662249,W,248.3828125
1711662250,R,0.0
1711662250,W,247.53125
1711662251,R,0.06640625
1711662251,W,248.3125
1711662252,R,0.0
1711662252,W,247.4765625
1711662253,R,0.0
1711662253,W,248.0546875
1711662254,R,0.0
1711662254,W,248.09765625
1711662255,R,0.0
1711662255,W,248.30859375
1711662256,R,0.0
1711662256,W,248.38671875
1711662257,R,0.0
1711662257,W,247.83984375
1711662258,R,4.0
1711662258,W,244.40234375
1711662259,R,0.03515625
1711662259,W,244.6328125
1711662260,R,1.953125
1711662260,W,249.1015625
1711662261,R,1.85546875
1711662261,W,246.0390625
1711662262,R,0.05078125
1711662262,W,248.0546875
1711662263,R,2.37109375
1711662263,W,245.6484375
1711662264,R,1.4296875
1711662264,W,246.45703125
1711662265,R,0.09375
1711662265,W,247.8515625
1711662266,R,0.75390625
1711662266,W,247.46875
1711662267,R,0.02734375
1711662267,W,247.90234375
1711662268,R,0.75390625
1711662268,W,247.2890625
1711662269,R,0.0
1711662269,W,247.81640625
1711662270,R,0.0
1711662270,W,248.98828125
1711662271,R,0.00390625
1711662271,W,247.0625
1711662272,R,2.625
1711662272,W,244.57421875
1711662273,R,0.0
1711662273,W,249.6875
1711662274,R,0.62890625
1711662274,W,246.97265625
1711662275,R,1.39453125
1711662275,W,246.0546875
1711662276,R,3.9375
1711662276,W,243.88671875
1711662277,R,5.19921875
1711662277,W,241.9921875
1711662278,R,5.94921875
1711662278,W,242.359375
1711662279,R,0.0
1711662279,W,248.27734375
1711662280,R,0.0
1711662280,W,248.9375
1711662281,R,0.00390625
1711662281,W,248.04296875
1711662282,R,2.7421875
1711662282,W,244.00390625
1711662283,R,1.1875
1711662283,W,246.70703125
1711662284,R,0.0
1711662284,W,249.85546875
1711662285,R,0.0
1711662285,W,247.75
1711662286,R,0.0
1711662286,W,247.58203125
1711662287,R,0.0
1711662287,W,247.89453125
1711662288,R,0.0
1711662288,W,249.94921875
1711662289,R,0.25
1711662289,W,246.33203125
1711662290,R,1.609375
1711662290,W,247.12890625
1711662291,R,1.390625
1711662291,W,245.546875
1711662292,R,0.00390625
1711662292,W,248.359375
1711662293,R,1.0
1711662293,W,247.28125
1711662294,R,0.16796875
1711662294,W,247.37890625
1711662295,R,0.1953125
1711662295,W,247.58203125
1711662296,R,0.90625
1711662296,W,247.93359375
1711662297,R,0.1953125
1711662297,W,246.890625
1711662298,R,2.00390625
1711662298,W,244.28515625
1711662299,R,3.03515625
1711662299,W,244.99609375
1711662300,R,0.0
1711662300,W,249.14453125
1711662301,R,0.0
1711662301,W,248.2109375
1711662302,R,0.0
1711662302,W,248.36328125
1711662303,R,0.0
1711662303,W,248.25
