time,label,value
210,read_tpt_ratio,0.7153878403639885
225,read_tpt_ratio,1.047108290666966
240,read_tpt_ratio,0.7276475296114066
255,read_tpt_ratio,0.9580029800620226
270,read_tpt_ratio,0.8320515622029642
285,read_tpt_ratio,0.5557477542560345
300,read_tpt_ratio,2.356851157593514
315,read_tpt_ratio,3.102291271062069
330,read_tpt_ratio,2.83586537717057
345,read_tpt_ratio,2.7986568697028638
360,read_tpt_ratio,2.466117707101127
375,read_tpt_ratio,3.560398066870409
390,read_tpt_ratio,1.0629195648415743
405,read_tpt_ratio,2.6957967886559797
420,read_tpt_ratio,0.6850283472707204
435,read_tpt_ratio,0.7418310806336323
450,read_tpt_ratio,0.835927144008864
465,read_tpt_ratio,0.6911506467800669
480,read_tpt_ratio,0.39466203225251306
495,read_tpt_ratio,0.8073204460568336
510,read_tpt_ratio,0.9336823653948446
525,read_tpt_ratio,0.7820767448214152
540,read_tpt_ratio,1.1084524034530803
555,read_tpt_ratio,0.8329649272486112
570,read_tpt_ratio,1.2534397284018899
585,read_tpt_ratio,0.7513916596377105
210,write_tpt_ratio,0.9544479469465812
225,write_tpt_ratio,0.6806273106636969
240,write_tpt_ratio,0.8757643278775814
255,write_tpt_ratio,0.9306966090162208
270,write_tpt_ratio,0.9851187449080663
285,write_tpt_ratio,0.8288806969910022
300,write_tpt_ratio,0.9956557188782407
315,write_tpt_ratio,1.3672420602965665
330,write_tpt_ratio,1.349284363105162
345,write_tpt_ratio,0.9128951434335473
360,write_tpt_ratio,1.1441719185892247
375,write_tpt_ratio,1.1196437100789671
390,write_tpt_ratio,1.261628343132091
405,write_tpt_ratio,1.248254467084283
420,write_tpt_ratio,0.8529262523890949
435,write_tpt_ratio,1.2609635112481234
450,write_tpt_ratio,0.8779636127598395
465,write_tpt_ratio,1.01104375938028
480,write_tpt_ratio,0.8217226282037429
495,write_tpt_ratio,0.9754115268321324
510,write_tpt_ratio,0.9563828689524189
525,write_tpt_ratio,0.983985888702091
540,write_tpt_ratio,1.1162612638477116
555,write_tpt_ratio,0.7762573629946907
570,write_tpt_ratio,1.0960695760309809
585,write_tpt_ratio,0.942087079953404
210,read_p50_ratio,1.160295103957076
225,read_p50_ratio,0.9154982567909905
240,read_p50_ratio,0.929060429574316
255,read_p50_ratio,0.8878807517822424
270,read_p50_ratio,0.8435629399180731
285,read_p50_ratio,0.9502316189571208
300,read_p50_ratio,1.1990609223804163
315,read_p50_ratio,1.5057651285244895
330,read_p50_ratio,1.4647627821280516
345,read_p50_ratio,1.5790174288638879
360,read_p50_ratio,1.2151722940716951
375,read_p50_ratio,1.3479736735829904
390,read_p50_ratio,1.1130434782608696
405,read_p50_ratio,1.182517413606211
420,read_p50_ratio,0.9727242852448241
435,read_p50_ratio,1.1831042642098375
450,read_p50_ratio,1.0476512335248396
465,read_p50_ratio,0.46952471578103877
480,read_p50_ratio,0.8206063369044906
495,read_p50_ratio,0.9625836531031864
510,read_p50_ratio,0.25819777949909634
525,read_p50_ratio,1.0798363332400944
540,read_p50_ratio,1.1388209136326353
555,read_p50_ratio,1.1676108458074121
570,read_p50_ratio,1.1557681515726463
585,read_p50_ratio,0.04699437410207178
210,read_p99_ratio,1.0125563425627817
225,read_p99_ratio,1.0816250243401162
240,read_p99_ratio,0.7150416154220176
255,read_p99_ratio,0.7334412613500387
270,read_p99_ratio,1.0457190357439734
285,read_p99_ratio,0.8145259639560969
300,read_p99_ratio,4.598646918997989
315,read_p99_ratio,8.08122903940547
330,read_p99_ratio,6.382923706145734
345,read_p99_ratio,6.751128107550924
360,read_p99_ratio,3.227842601921195
375,read_p99_ratio,7.553760427552242
390,read_p99_ratio,1.5207227592632648
405,read_p99_ratio,5.287316127344784
420,read_p99_ratio,0.8996758637046406
435,read_p99_ratio,1.1124983879402341
450,read_p99_ratio,0.8320115356885364
465,read_p99_ratio,0.9175956030866785
480,read_p99_ratio,0.8039345502695545
495,read_p99_ratio,0.8802217725717326
510,read_p99_ratio,0.7145512013392074
525,read_p99_ratio,0.9220649377568064
540,read_p99_ratio,1.1167587341562728
555,read_p99_ratio,0.8523872753946394
570,read_p99_ratio,1.025485470665828
585,read_p99_ratio,0.5555088180348073
210,read_p999_ratio,0.7492059537896244
225,read_p999_ratio,0.6695942567006651
240,read_p999_ratio,0.34127721934327093
255,read_p999_ratio,0.7773680976209288
270,read_p999_ratio,0.7306386142722664
285,read_p999_ratio,0.5767382249279078
300,read_p999_ratio,5.753289049873525
315,read_p999_ratio,6.937383460168524
330,read_p999_ratio,6.626590987272102
345,read_p999_ratio,6.013969039969101
360,read_p999_ratio,4.359415790393542
375,read_p999_ratio,7.439837523402984
390,read_p999_ratio,1.6681059951820372
405,read_p999_ratio,5.189608945509817
420,read_p999_ratio,0.7920740314738328
435,read_p999_ratio,1.2711929707916227
450,read_p999_ratio,0.757053202917397
465,read_p999_ratio,0.593518843896706
480,read_p999_ratio,0.7740501438921426
495,read_p999_ratio,0.7286044899794686
510,read_p999_ratio,0.38464805147969433
525,read_p999_ratio,1.2965390587969308
540,read_p999_ratio,1.3272117179300253
555,read_p999_ratio,0.4975129529386915
570,read_p999_ratio,0.7297891829950278
585,read_p999_ratio,0.38733848317840647
210,write_p50_ratio,0.9154994049253868
225,write_p50_ratio,0.9318405877348171
240,write_p50_ratio,0.9054054054054054
255,write_p50_ratio,0.9358288770053477
270,write_p50_ratio,0.9222089617012043
285,write_p50_ratio,0.9048569527611443
300,write_p50_ratio,1.0144529711537313
315,write_p50_ratio,1.542906255501134
330,write_p50_ratio,1.9565217391304346
345,write_p50_ratio,1.65
360,write_p50_ratio,1.0522235144265382
375,write_p50_ratio,1.0873337189126662
390,write_p50_ratio,0.9504271126719751
405,write_p50_ratio,1.0033606537559536
420,write_p50_ratio,0.9373020899303356
435,write_p50_ratio,0.9280373336161638
450,write_p50_ratio,0.9481069464635611
465,write_p50_ratio,0.9071975262895621
480,write_p50_ratio,0.9509368012542085
495,write_p50_ratio,0.9181074056353692
510,write_p50_ratio,0.8964646464646464
525,write_p50_ratio,0.9504094572250648
540,write_p50_ratio,0.9017132551848512
555,write_p50_ratio,0.9342105263157895
570,write_p50_ratio,0.9587106637128014
585,write_p50_ratio,0.9544550196268214
210,write_p99_ratio,0.8502301890488785
225,write_p99_ratio,0.8882050127288534
240,write_p99_ratio,0.8234993124180499
255,write_p99_ratio,0.9714680620001975
270,write_p99_ratio,0.8721691933370767
285,write_p99_ratio,0.8030292489490056
300,write_p99_ratio,3.321767747422394
315,write_p99_ratio,5.799047110540977
330,write_p99_ratio,3.728067650253628
345,write_p99_ratio,7.406944479164062
360,write_p99_ratio,2.8633305453621034
375,write_p99_ratio,5.5250718183338146
390,write_p99_ratio,9.215492957746479
405,write_p99_ratio,4.274394374965667
420,write_p99_ratio,0.8831710709318498
435,write_p99_ratio,1.007073715562174
450,write_p99_ratio,0.9796510652306973
465,write_p99_ratio,1.0977383705524923
480,write_p99_ratio,0.8315718906721078
495,write_p99_ratio,0.8569241442859474
510,write_p99_ratio,0.8674625452331834
525,write_p99_ratio,0.9112101630306851
540,write_p99_ratio,0.924401356971512
555,write_p99_ratio,0.7897819597173412
570,write_p99_ratio,0.9494895428301607
585,write_p99_ratio,0.9823619538896278
210,write_p999_ratio,0.8466584700804709
225,write_p999_ratio,0.9781834606634467
240,write_p999_ratio,0.8031132292892668
255,write_p999_ratio,1.0696219994481744
270,write_p999_ratio,0.9042017202542868
285,write_p999_ratio,0.713957548470091
300,write_p999_ratio,4.5714088756379985
315,write_p999_ratio,6.931314847400037
330,write_p999_ratio,5.063506543630048
345,write_p999_ratio,4.32456
360,write_p999_ratio,3.9771823652997846
375,write_p999_ratio,7.74631970260223
390,write_p999_ratio,1.7862303183267896
405,write_p999_ratio,6.115903598001869
420,write_p999_ratio,1.001427551748751
435,write_p999_ratio,0.9763345897799679
450,write_p999_ratio,1.0900642152840192
465,write_p999_ratio,1.361031751448788
480,write_p999_ratio,0.8533019631912301
495,write_p999_ratio,0.9113729486799294
510,write_p999_ratio,0.858019414360461
525,write_p999_ratio,0.8324697585101001
540,write_p999_ratio,0.8314837675982348
555,write_p999_ratio,0.8562306207193902
570,write_p999_ratio,0.95793402602643
585,write_p999_ratio,1.0096339401081043
